season,game_count,accuracy,roc_auc,brier_score,log_loss
2021,2437,0.5818629462453837,0.5946819105691057,0.24167217611797337,0.6761811768964153
2022,2431,0.5812422871246401,0.6040584724563598,0.24124859635655987,0.6754355529879709
2023,2436,0.5509031198686372,0.5736740255390864,0.24571403582157164,0.6844562545813833
2024,2432,0.5526315789473685,0.5639536380586903,0.24672975056994528,0.6866096762967742
2025,2432,0.5604440789473685,0.5517350179226125,0.24595207206062633,0.6850187911815508
