bucket,range_low,range_high,game_count,avg_predicted_probability,actual_win_rate,calibration_error,brier_score
0-40%,0.0,0.4,394,0.3713553567858607,0.3604060913705584,0.010949265415302278,0.23125279251647085
40-45%,0.4,0.45,949,0.43002872994162916,0.4499473129610116,0.01991858301938243,0.2472115825460892
45-50%,0.45,0.5,2230,0.47742119073122,0.452914798206278,0.024506392524942022,0.24808403434451692
50-55%,0.5,0.55,3461,0.525464562981517,0.5307714533371858,0.005306890355668781,0.24922457113035532
55-60%,0.55,0.6,3234,0.5732202196408064,0.5754483611626469,0.0022281415218404765,0.2438615063049179
60-65%,0.6,0.65,1243,0.6222055165840372,0.5953338696701529,0.02687164691388433,0.24124066970527738
65%+,0.65,1.0,657,0.6712484800005706,0.6818873668188736,0.01063888681830305,0.21639379246464527
