gamePk,date,season,homeAbbr,awayAbbr,homeStarterId,awayStarterId,home_starter_era_pre_game,away_starter_era_pre_game,home_starter_fip_pre_game,away_starter_fip_pre_game,home_starter_k_pct_pre_game,away_starter_k_pct_pre_game,home_starter_bb_pct_pre_game,away_starter_bb_pct_pre_game,home_starter_k_minus_bb_pre_game,away_starter_k_minus_bb_pre_game,home_starter_whip_pre_game,away_starter_whip_pre_game,home_starter_hr_per_9_pre_game,away_starter_hr_per_9_pre_game,home_starter_days_rest,away_starter_days_rest,home_starter_hand,away_starter_hand,starter_era_diff,starter_fip_diff,starter_k_minus_bb_diff,starter_whip_diff,starter_hr_per_9_diff,starter_rest_diff,home_starter_missing,away_starter_missing
263855,2010-04-08,2010,TEX,TOR,450351.0,460069.0,,,,,,,,,,,,,,,,,L,L,,,,,,,1,1
263856,2010-04-09,2010,KCR,BOS,434678.0,123801.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263857,2010-04-09,2010,CIN,CHC,456701.0,400067.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263858,2010-04-09,2010,DET,CLE,519144.0,453307.0,,,,,,,,,,,,,,,,,R,L,,,,,,,1,1
263859,2010-04-09,2010,MIA,LAD,458690.0,493133.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263860,2010-04-09,2010,CHW,MIN,433579.0,434538.0,,,,,,,,,,,,,,,,,L,L,,,,,,,1,1
263861,2010-04-09,2010,TBR,NYY,456034.0,134320.0,,,,,,,,,,,,,,,,,L,R,,,,,,,1,1
263862,2010-04-09,2010,ANA,OAK,461212.0,461829.0,,,,,,,,,,,,,,,,,R,L,,,,,,,1,1
263863,2010-04-09,2010,ARI,PIT,150438.0,450203.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263864,2010-04-09,2010,COL,SDP,407822.0,453385.0,,,,,,,,,,,,,,,,,L,L,,,,,,,1,1
263865,2010-04-09,2010,TEX,SEA,407890.0,450306.0,,,,,,,,,,,,,,,,,R,L,,,,,,,1,1
263866,2010-04-09,2010,MIL,STL,433657.0,346798.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263867,2010-04-09,2010,BAL,TOR,448269.0,453344.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263868,2010-04-09,2010,NYM,WSN,460059.0,452241.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263869,2010-04-09,2010,SFG,ATL,456043.0,218596.0,,,,,,,,,,,,,,,,,L,R,,,,,,,1,1
263870,2010-04-09,2010,HOU,PHI,502032.0,457918.0,,,,,,,,,,,,,,,,,R,L,,,,,,,1,1
263871,2010-04-10,2010,SFG,ATL,425487.0,117955.0,,,,,,,,,,,,,,,,5.0,R,R,,,,,,,1,1
263872,2010-04-10,2010,KCR,BOS,425844.0,277417.0,,,,,,,,,,,,,,,5.0,6.0,R,R,,,,,,-1.0,1,1
263873,2010-04-10,2010,CIN,CHC,421685.0,407296.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263874,2010-04-10,2010,DET,CLE,425827.0,452676.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263875,2010-04-10,2010,MIA,LAD,435178.0,218894.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263876,2010-04-10,2010,CHW,MIN,150119.0,435044.0,,,,,,,,,,,,,,,,5.0,R,R,,,,,,,1,1
263877,2010-04-10,2010,TBR,NYY,451584.0,282332.0,,,,,,,,,,,,,,,,6.0,R,L,,,,,,,1,1
263878,2010-04-10,2010,ANA,OAK,450308.0,282656.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263879,2010-04-10,2010,ARI,PIT,429717.0,435043.0,,,,,,,,,,,,,,,5.0,5.0,R,L,,,,,,0.0,1,1
263880,2010-04-10,2010,COL,SDP,434628.0,502009.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263881,2010-04-10,2010,TEX,SEA,457448.0,433587.0,,,,,,,,,,,,,,,,5.0,L,R,,,,,,,1,1
263882,2010-04-10,2010,MIL,STL,451596.0,448802.0,,,,,,,,,,,,,,,5.0,,R,L,,,,,,,1,1
263883,2010-04-10,2010,BAL,TOR,456696.0,445968.0,,,,,,,,,,,,,,,,,R,L,,,,,,,1,1
263884,2010-04-10,2010,NYM,WSN,424144.0,458709.0,,,,,,,,,,,,,,,,5.0,L,L,,,,,,,1,1
263885,2010-04-10,2010,HOU,PHI,462956.0,119469.0,,,,,,,,,,,,,,,,,R,L,,,,,,,1,1
263886,2010-04-11,2010,KCR,BOS,219194.0,453329.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263887,2010-04-11,2010,CIN,CHC,502190.0,452733.0,,,,,,,,,,,,,,,,,R,L,,,,,,,1,1
263888,2010-04-11,2010,DET,CLE,434378.0,150414.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263889,2010-04-11,2010,MIA,LAD,434671.0,446624.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263890,2010-04-11,2010,CHW,MIN,279824.0,448147.0,,,,,,,,,,,,,,,6.0,5.0,L,R,,,,,,1.0,1,1
263891,2010-04-11,2010,TBR,NYY,448306.0,150359.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263892,2010-04-11,2010,ANA,OAK,434578.0,460284.0,,,,,,,,,,,,,,,5.0,5.0,L,L,,,,,,0.0,1,1
263893,2010-04-11,2010,ARI,PIT,429719.0,445216.0,,,,,,,,,,,,,,,5.0,,R,R,,,,,,,1,1
263894,2010-04-11,2010,COL,SDP,434622.0,279782.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263895,2010-04-11,2010,TEX,SEA,444857.0,430636.0,,,,,,,,,,,,,,,6.0,5.0,R,R,,,,,,1.0,1,1
263896,2010-04-11,2010,MIL,STL,150116.0,112020.0,,,,,,,,,,,,,,,5.0,6.0,L,R,,,,,,-1.0,1,1
263897,2010-04-11,2010,BAL,TOR,119154.0,451788.0,,,,,,,,,,,,,,,5.0,6.0,R,R,,,,,,-1.0,1,1
263898,2010-04-11,2010,NYM,WSN,276371.0,115817.0,,,,,,,,,,,,,,,6.0,,L,R,,,,,,,1,1
263899,2010-04-11,2010,HOU,PHI,400061.0,136880.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263900,2010-04-11,2010,SFG,ATL,453311.0,499877.0,,,,,,,,,,,,,,,6.0,,R,R,,,,,,,1,1
263901,2010-04-12,2010,SDP,ATL,429781.0,457453.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263902,2010-04-12,2010,MIA,CIN,445060.0,456501.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263903,2010-04-12,2010,DET,KCR,453286.0,460024.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263904,2010-04-12,2010,CHC,MIL,133225.0,150277.0,,,,,,,,,,,,,,,5.0,5.0,R,L,,,,,,0.0,1,1
263905,2010-04-12,2010,SEA,OAK,434884.0,407113.0,,,,,,,,,,,,,,,5.0,5.0,L,R,,,,,,0.0,1,1
263906,2010-04-12,2010,BAL,TBR,425386.0,490063.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263907,2010-04-12,2010,CLE,TEX,433584.0,425848.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263908,2010-04-12,2010,PHI,WSN,430935.0,150302.0,,,,,,,,,,,,,,,5.0,5.0,L,R,,,,,,0.0,1,1
263909,2010-04-12,2010,MIN,BOS,134321.0,452657.0,,,,,,,,,,,,,,,5.0,6.0,R,L,,,,,,-1.0,1,1
263910,2010-04-12,2010,STL,HOU,425794.0,434643.0,,,,,,,,,,,,,,,5.0,6.0,R,L,,,,,,-1.0,1,1
263911,2010-04-12,2010,TOR,CHW,425226.0,408241.0,,,,,,,,,,,,,,,5.0,5.0,L,R,,,,,,0.0,1,1
263912,2010-04-12,2010,SFG,PIT,217096.0,434638.0,,,,,,,,,,,,,,,6.0,,L,L,,,,,,,1,1
263913,2010-04-13,2010,NYY,ANA,120485.0,429722.0,,,,,,,,,,,,,,,6.0,6.0,L,R,,,,,,0.0,1,1
263914,2010-04-13,2010,LAD,ARI,477132.0,453178.0,,,,,,,,,,,,,,,6.0,6.0,L,R,,,,,,0.0,1,1
263915,2010-04-13,2010,MIA,CIN,425146.0,276520.0,,,,,,,,,,,,,,,5.0,5.0,L,R,,,,,,0.0,1,1
263916,2010-04-13,2010,DET,KCR,425883.0,446454.0,,,,,,,,,,,,,,,5.0,5.0,L,R,,,,,,0.0,1,1
263917,2010-04-13,2010,COL,NYM,460105.0,429720.0,,,,,,,,,,,,,,,7.0,6.0,L,R,,,,,,1.0,1,1
263918,2010-04-13,2010,SEA,OAK,450729.0,474463.0,,,,,,,,,,,,,,,5.0,5.0,R,L,,,,,,0.0,1,1
263919,2010-04-13,2010,BAL,TBR,451085.0,435298.0,,,,,,,,,,,,,,,5.0,5.0,L,R,,,,,,0.0,1,1
263920,2010-04-13,2010,TOR,CHW,460069.0,425856.0,,,,,,,,,,,,,,,5.0,5.0,L,R,,,,,,0.0,1,1
263921,2010-04-13,2010,SFG,PIT,430912.0,430904.0,,,,,,,,,,,,,,,6.0,5.0,R,L,,,,,,1.0,1,1
263922,2010-04-14,2010,NYY,ANA,134320.0,334492.0,,,,,,,,,,,,,,,5.0,6.0,R,R,,,,,,-1.0,1,1
263923,2010-04-14,2010,LAD,ARI,451532.0,150438.0,,,,,,,,,,,,,,,6.0,5.0,R,R,,,,,,1.0,1,1
263924,2010-04-14,2010,SDP,ATL,453385.0,462102.0,,,,,,,,,,,,,,,5.0,6.0,L,R,,,,,,-1.0,1,1
263925,2010-04-14,2010,MIA,CIN,458690.0,456701.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263926,2010-04-14,2010,DET,KCR,519144.0,434678.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263927,2010-04-14,2010,CHC,MIL,448694.0,433657.0,,,,,,,,,,,,,,,6.0,5.0,R,R,,,,,,1.0,1,1
263928,2010-04-14,2010,COL,NYM,346871.0,477003.0,,,,,,,,,,,,,,,7.0,6.0,R,L,,,,,,1.0,1,1
263929,2010-04-14,2010,SEA,OAK,450306.0,461829.0,,,,,,,,,,,,,,,5.0,5.0,L,L,,,,,,0.0,1,1
263930,2010-04-14,2010,BAL,TBR,448269.0,456034.0,,,,,,,,,,,,,,,5.0,5.0,R,L,,,,,,0.0,1,1
263931,2010-04-14,2010,CLE,TEX,475416.0,407890.0,,,,,,,,,,,,,,,6.0,5.0,R,R,,,,,,1.0,1,1
263932,2010-04-14,2010,PHI,WSN,452718.0,489334.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263933,2010-04-14,2010,MIN,BOS,458713.0,407793.0,,,,,,,,,,,,,,,6.0,7.0,R,R,,,,,,-1.0,1,1
263934,2010-04-14,2010,SFG,PIT,456043.0,450203.0,,,,,,,,,,,,,,,5.0,5.0,L,R,,,,,,0.0,1,1
263935,2010-04-14,2010,TOR,CHW,453344.0,433579.0,,,,,,,,,,,,,,,5.0,5.0,R,L,,,,,,0.0,1,1
263936,2010-04-14,2010,STL,HOU,207267.0,408206.0,,,,,,,,,,,,,,,6.0,7.0,R,R,,,,,,-1.0,1,1
263937,2010-04-15,2010,NYY,ANA,461833.0,431148.0,,,,,,,,,,,,,,,,,R,L,,,,,,,1,1
263938,2010-04-15,2010,LAD,ARI,493133.0,429717.0,,,,,,,,,,,,,,,6.0,5.0,R,R,,,,,,1.0,1,1
263939,2010-04-15,2010,SDP,ATL,502009.0,218596.0,,,,,,,,,,,,,,,5.0,6.0,R,R,,,,,,-1.0,1,1
263940,2010-04-15,2010,OAK,BAL,282656.0,456696.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263941,2010-04-15,2010,MIA,CIN,435178.0,421685.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263942,2010-04-15,2010,CHC,MIL,407296.0,122987.0,,,,,,,,,,,,,,,5.0,,R,R,,,,,,,1,1
263943,2010-04-15,2010,COL,NYM,407822.0,460059.0,,,,,,,,,,,,,,,6.0,6.0,L,R,,,,,,0.0,1,1
263944,2010-04-15,2010,CLE,TEX,453307.0,457448.0,,,,,,,,,,,,,,,6.0,5.0,L,L,,,,,,1.0,1,1
263945,2010-04-15,2010,PHI,WSN,457918.0,435179.0,,,,,,,,,,,,,,,6.0,,L,L,,,,,,,1,1
263946,2010-04-15,2010,MIN,BOS,434538.0,123801.0,,,,,,,,,,,,,,,6.0,6.0,L,R,,,,,,0.0,1,1
263947,2010-04-15,2010,STL,HOU,346798.0,502032.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263948,2010-04-15,2010,TOR,CHW,445968.0,150119.0,,,,,,,,,,,,,,,5.0,5.0,L,R,,,,,,0.0,1,1
263949,2010-04-16,2010,SDP,ARI,279782.0,429719.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263950,2010-04-16,2010,OAK,BAL,460284.0,119154.0,,,,,,,,,,,,,,,5.0,5.0,L,R,,,,,,0.0,1,1
263951,2010-04-16,2010,CLE,CHW,452676.0,279824.0,,,,,,,,,,,,,,,6.0,5.0,R,L,,,,,,1.0,1,1
263952,2010-04-16,2010,PIT,CIN,435043.0,502190.0,,,,,,,,,,,,,,,6.0,5.0,L,R,,,,,,1.0,1,1
263953,2010-04-16,2010,ATL,COL,117955.0,434628.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263954,2010-04-16,2010,SEA,DET,433587.0,425827.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263955,2010-04-16,2010,PHI,MIA,136880.0,434671.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263956,2010-04-16,2010,CHC,HOU,400067.0,462956.0,,,,,,,,,,,,,,,7.0,6.0,R,R,,,,,,1.0,1,1
263957,2010-04-16,2010,WSN,MIL,458709.0,451596.0,,,,,,,,,,,,,,,6.0,6.0,L,R,,,,,,0.0,1,1
263958,2010-04-16,2010,LAD,SFG,218894.0,425487.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263959,2010-04-16,2010,BOS,TBR,277417.0,451584.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263960,2010-04-16,2010,NYY,TEX,282332.0,450351.0,,,,,,,,,,,,,,,6.0,8.0,L,L,,,,,,-2.0,1,1
263961,2010-04-16,2010,TOR,ANA,451788.0,450308.0,,,,,,,,,,,,,,,5.0,6.0,R,R,,,,,,-1.0,1,1
263962,2010-04-16,2010,MIN,KCR,435044.0,425844.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263963,2010-04-16,2010,STL,NYM,112020.0,424144.0,,,,,,,,,,,,,,,5.0,6.0,R,L,,,,,,-1.0,1,1
263959,2010-04-17,2010,BOS,TBR,277417.0,451584.0,,,,,,,,,,,,,,,1.0,1.0,R,R,,,,,,0.0,1,1
263964,2010-04-17,2010,SDP,ARI,429781.0,150249.0,,,,,,,,,,,,,,,5.0,,R,R,,,,,,,1,1
263965,2010-04-17,2010,OAK,BAL,407113.0,425386.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
263966,2010-04-17,2010,CLE,CHW,150414.0,408241.0,,,,,,,,,,,,,,,6.0,5.0,R,R,,,,,,1.0,1,1
263967,2010-04-17,2010,PIT,CIN,445216.0,456501.0,,,,,,,,,,,,,,,6.0,5.0,R,R,,,,,,1.0,1,1
263968,2010-04-17,2010,ATL,COL,499877.0,434622.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263969,2010-04-17,2010,SEA,DET,434884.0,434378.0,,,,,,,,,,,,,,,5.0,6.0,L,R,,,,,,-1.0,1,1
263970,2010-04-17,2010,PHI,MIA,119469.0,445060.0,,,,,,,,,,,,,,,7.0,5.0,L,R,,,,,,2.0,1,1
263971,2010-04-17,2010,CHC,HOU,452733.0,400061.0,,,,,,,,,,,,,,,6.0,6.0,L,R,,,,,,0.0,1,1
263972,2010-04-17,2010,WSN,MIL,115817.0,150116.0,,,,,,,,,,,,,,,6.0,6.0,R,L,,,,,,0.0,1,1
263973,2010-04-17,2010,LAD,SFG,446624.0,453311.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263974,2010-04-17,2010,BOS,TBR,453329.0,448306.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263975,2010-04-17,2010,NYY,TEX,150359.0,444857.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263976,2010-04-17,2010,TOR,ANA,425226.0,434578.0,,,,,,,,,,,,,,,5.0,6.0,L,L,,,,,,-1.0,1,1
263977,2010-04-17,2010,MIN,KCR,448147.0,219194.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263978,2010-04-17,2010,STL,NYM,448802.0,276371.0,,,,,,,,,,,,,,,7.0,6.0,L,L,,,,,,1.0,1,1
263979,2010-04-18,2010,SDP,ARI,453281.0,453178.0,,,,,,,,,,,,,,,,5.0,L,R,,,,,,,1,1
263980,2010-04-18,2010,OAK,BAL,474463.0,451085.0,,,,,,,,,,,,,,,5.0,5.0,L,L,,,,,,0.0,1,1
263981,2010-04-18,2010,CLE,CHW,433584.0,425856.0,,,,,,,,,,,,,,,6.0,5.0,R,R,,,,,,1.0,1,1
263982,2010-04-18,2010,PIT,CIN,430904.0,276520.0,,,,,,,,,,,,,,,5.0,5.0,L,R,,,,,,0.0,1,1
263983,2010-04-18,2010,ATL,COL,457453.0,460105.0,,,,,,,,,,,,,,,6.0,5.0,R,L,,,,,,1.0,1,1
263984,2010-04-18,2010,SEA,DET,430636.0,453286.0,,,,,,,,,,,,,,,7.0,6.0,R,R,,,,,,1.0,1,1
263985,2010-04-18,2010,PHI,MIA,430935.0,425146.0,,,,,,,,,,,,,,,6.0,5.0,L,L,,,,,,1.0,1,1
263986,2010-04-18,2010,CHC,HOU,133225.0,434643.0,,,,,,,,,,,,,,,6.0,6.0,R,L,,,,,,0.0,1,1
263987,2010-04-18,2010,WSN,MIL,150302.0,150277.0,,,,,,,,,,,,,,,6.0,6.0,R,L,,,,,,0.0,1,1
263988,2010-04-18,2010,LAD,SFG,477132.0,217096.0,,,,,,,,,,,,,,,5.0,6.0,L,L,,,,,,-1.0,1,1
263989,2010-04-18,2010,BOS,TBR,452657.0,490063.0,,,,,,,,,,,,,,,6.0,6.0,L,R,,,,,,0.0,1,1
263990,2010-04-18,2010,NYY,TEX,120485.0,425848.0,,,,,,,,,,,,,,,5.0,6.0,L,R,,,,,,-1.0,1,1
263991,2010-04-18,2010,TOR,ANA,460069.0,429722.0,,,,,,,,,,,,,,,5.0,5.0,L,R,,,,,,0.0,1,1
263992,2010-04-18,2010,MIN,KCR,134321.0,460024.0,,,,,,,,,,,,,,,6.0,6.0,R,R,,,,,,0.0,1,1
263993,2010-04-18,2010,STL,NYM,425794.0,429720.0,,,,,,,,,,,,,,,6.0,5.0,R,R,,,,,,1.0,1,1
263994,2010-04-19,2010,SEA,BAL,450729.0,448269.0,,,,,,,,,,,,,,,6.0,5.0,R,R,,,,,,1.0,1,1
263995,2010-04-19,2010,NYM,CHC,477003.0,448694.0,,,,,,,,,,,,,,,5.0,5.0,L,R,,,,,,0.0,1,1
263996,2010-04-19,2010,WSN,COL,489334.0,346871.0,,,,,,,,,,,,,,,5.0,5.0,R,R,,,,,,0.0,1,1
